,n_neighbors,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,5,180,0.188679245,0.357142857,0.24691358,0.540750916,0.668478261,1.491461423,0.345285525,5
1,5,365,0.209302326,0.321428571,0.253521127,0.551739927,0.711956522,1.434688095,0.314939435,5
2,5,730,0.214285714,0.321428571,0.257142857,0.554945055,0.717391304,1.312603784,0.315363881,5
3,10,180,0.2,0.25,0.222222222,0.53525641,0.733695652,1.272299481,0.247619048,5
4,10,365,0.148148148,0.142857143,0.145454545,0.497710623,0.744565217,1.033929982,0.143053645,5
5,10,730,0.212121212,0.25,0.229508197,0.541666667,0.744565217,1.282425182,0.248294679,5
6,15,180,0.282051282,0.392857143,0.328358209,0.606684982,0.755434783,1.59791014,0.387009472,5
7,15,365,0.15,0.107142857,0.125,0.499084249,0.77173913,1.012680775,0.108333333,5
8,15,730,0.235294118,0.285714286,0.258064516,0.55952381,0.75,1.353025314,0.283378747,5
9,20,180,0.25,0.25,0.25,0.557692308,0.77173913,1.233333403,0.25,5
10,20,365,0.285714286,0.214285714,0.244897959,0.559065934,0.798913043,1.294775302,0.216366158,5
11,20,730,0.333333333,0.25,0.285714286,0.580128205,0.809782609,1.328058927,0.252427184,5
12,25,180,0.3125,0.357142857,0.333333333,0.608058608,0.782608696,1.589499628,0.355191257,5
13,25,365,0.3125,0.178571429,0.227272727,0.554029304,0.815217391,1.295379167,0.181564246,5
14,25,730,0.333333333,0.214285714,0.260869565,0.568681319,0.815217391,1.312488776,0.217270195,5
